'perfect' gold bar;"täydellinen" kultaharkko
Strange object;Outo kohde
Strange device;Outo laite
Strange implement;Outo laite
Strange old lockpick;Outo vanha lockpick
Strange fruit;Outoja hedelmiä
Strawberries(5);Mansikat (5)
Strawberry seed;Mansikan siemen
Strawberries(2);Mansikat (2)
Strawberry;Mansikka
Strength amulet (t);Voima-amuletti (t)
Strange skull;Outo kallo
Strawberries(3);Mansikat (3)
Strawberries(1);Mansikat (1)
Strength cape;Vahvuusviitta
Strawberries(4);Mansikat (4)
Strength potion(1);Voimajuoma (1)
Strength mix(1);Voimasekoitus (1)
Strength potion(3);Voimajuoma (3)
Strength cape(t);Voimaviitta (t)
Strength mix(2);Voimasekoitus (2)
Strength potion(4);Voimajuoma (4)
Strip of cloth;Kangasnauha
Stretched hide;Venytetty nahka
Strength hood;Vahva huppu
Strength potion(2);Voimajuoma (2)
Studded chaps;Nastalliset hatut
Stripy pirate shirt;Raidallinen merirosvopaita
Strung rabbit foot;Kierretty kanin jalka
Studded body (g);Nastoitettu runko (g)
Stronghold notes;Vahvuus nuotit
Stripy feather;Raidallinen höyhen
Studded body;Nastoitettu runko
Studded chaps (g);Nastalliset housut (g)
Studded chaps (t);Nastalliset nastat (t)
Studded body (t);Nastoitettu runko (t)
Stuffed hydra heads;Täytetyt hydrapäät
Stuffed abyssal head;Täytetty syvennyspää
Stuffed big swordfish;Täytetty iso miekkakala
Stuffed basilisk head;Täytetty basiliskin pää
Stuffed big shark;Täytetty isohai
Study;Opiskelu
Stuffed big harpoonfish;Täytetyt isot harppuunakalat
Stuffed cockatrice head;Täytetty cockatrice-pää
Stuffed big bass;Täytetty iso basso
Stuffed crawling hand;Täytetty ryömivä käsi
Stuffed snake;Täytetty käärme
Sturdy boots;Tukevat saappaat
Stuffed kbd heads;Täytetyt kbd-päät
Stuffed kq head;Täytetty kq pää
Suit of armour;Panssaripuku
Stuffed kq head (tattered);Täytetyt kq-päät (rehailtu)
Stuffed monkey;Täytetty apina
Stuffed kurask head;Täytetty kurask pää
Sulliuscep cap;Sulliuscep lippalakki
Sulphur;Rikki
Summer pie;Kesäinen piirakka
Sulphurous fertiliser;Rikkipitoinen lannoite
Summer sq'irkjuice;Kesäinen sq'irkjuice
Super antifire mix(1);Super antifire sekoitus (1)
Sulphur lizard;Rikkilisko
Sulphuric broline;Rikkibroliini
Summer sq'irk;Kesäinen sq'irk
Summer garden;Kesäinen puutarha
Sunflower;Auringonkukka
Super antifire mix(2);Super antifire sekoitus (2)
Super antifire potion(3);Super tulenkestävä juoma (3)
Super attack(1);Superhyökkäys (1)
Super antifire potion(1);Superpalonestojuoma(1)
Super attack(4);Superhyökkäys (4)
Super combat potion(1);Super taistelujuoma(1)
Super antifire potion(4);Super tulenkestävä juoma (4)
Super antifire potion(2);Superpalonestojuoma(2)
Super attack(3);Superhyökkäys (3)
Super combat potion(2);Super taistelujuoma(2)
Super attack(2);Superhyökkäys (2)
Super combat potion(4);Super taistelujuoma(4)
Super def. mix(2);Super def. sekoitus (2)
Super combat potion(3);Super taistelujuoma(3)
Super energy mix(2);Super energiayhdistelmä (2)
Super defence(1);Superpuolustus (1)
Super defence(4);Superpuolustus (4)
Super energy mix(1);Super energiayhdistelmä (1)
Super def. mix(1);Super def. sekoitus (1)
Super defence(2);Superpuolustus (2)
Super defence(3);Superpuolustus (3)
Super energy(2);Superenergiaa (2)
Super magic potion (4);Super taikajuoma (4)
Super energy(3);Superenergiaa (3)
Super magic potion (1);Super taikajuoma (1)
Super potion set;Superjuomasarja
Super magic potion (3);Super taikajuoma (3)
Super magic potion (2);Super taikajuoma (2)
Super energy(4);Superenergiaa (4)
Super energy(1);Superenergiaa (1)
Super kebab;Super kebab
Super ranging (2);Huippuluokan (2)
Super restore(2);Superpalautus (2)
Super restore mix(2);Super palautussekoitus (2)
Super restore mix(1);Superpalautussekoitus (1)
Super restore(4);Superpalautus (4)
Super ranging (4);Huippuluokan (4)
Super ranging (3);Huippuluokan (3)
Super restore(1);Superpalautus (1)
Super restore(3);Superpalautus (3)
Super ranging (1);Huippuluokan (1)
Super str. mix(2);Super str. sekoitus (2)
Superantipoison(2);Superantimyrkky (2)
Super strength(4);Super vahvuus (4)
Super strength(1);Super vahvuus (1)
Super strength(3);Super vahvuus (3)
Super strength(2);Super vahvuus (2)
Superantipoison(1);Superantimyrkky (1)
Super str. mix(1);Super str. sekoitus (1)
Superantipoison(3);Superantimyrkky (3)
Superantipoison(4);Superantimyrkky (4)
Superattack mix(1);Superattack-sekoitus (1)
Superior garden;Superior puutarha
Suqah hide;Suqah piiloutua
Supercompost;Superkomposti
Superattack mix(2);Superattack-sekoitus (2)
Superior dragon bonemeal;Ylivertaista lohikäärmeen luujauhoa
Supply crate;Tarvikelaatikko
Suphi fish (1);Suphi kala (1)
Superior dragon bones;Ylivertaiset lohikäärmeen luut
Superior mining gloves;Ylivertaiset kaivoshanskat
Swamp cave bug;Suoluolabugi
Swamp cave slime;Suon luolan limaa
Suqah monster;Suqah hirviö
Swamp paste;Suon tahna
Sven's last map;Svenin viimeinen kartta
Swamp lizard;Suon lisko
Survival token;Selviytymismerkki
Surok's letter;Surokin kirje
Suqah leather;Suqah nahkaa
Suqah tooth;Suqah hammas
Swampbark gauntlets;Swampbark-hansikkaat
Swamp weed;Suon rikkakasvit
Swamp toad;Suo rupikonna
Swarm;Parvi
Swampbark body;Swampbark runko
Swampbark helm;Swampbarkin ruori
Swamp tar;Suon terva
Swampbark legs;Swampbark jalat
Swamp wallbeast;Suon muuripeto
Swampbark boots;Swampbark saappaat
Sword pommel;Miekan ponsi
Tackle box;Tarvikelaatikko
Sweetcorn;Sokerimaissi
Swordfish;Miekkakala
Symptoms list;Oireluettelo
Sweetcorn seed;Sokerimaissin siemenet
Sword fragment;Miekan fragmentti
Symbol;Symboli
Sweetgrubs;Sweetgrubs
Swift blade;Nopea terä
Tai bwo wannai teleport;Tai bwo wanna teleportoida
Tangled toads' legs;Sotkeutuneet rupikonnan jalat
Tall fancy hedge;Korkea tyylikäs pensasaita
Tacks;Tacks
Tangle vine;Tangle viiniköynnös
Tangled toad's legs;Sekavat rupikonnan jalat
Tangleroot;Tanglroot
Tall box hedge;Korkea laatikkopensasaita
Tall plant;Korkea kasvi
Tan cavalier;Tan cavalier
Tanzanite helm;Tansaniittinen ruori
Tanzanite mutagen;Tansaniittimutageeni
Tarn's diary;Tarnin päiväkirja
Target teleport scroll;Kohde teleporttivieritä
Tanzanite helm (uncharged);Tansaniittiruori (lataamaton)
Target teleport;Kohdeteleportti
Tarromin;Tarromin
Tanzanite fang;Tansaniittihammas
Tarnished key;Likainen avain
Tankard;Kolpakko
Tarromin potion (unf);Tarromiinijuoma (unf)
Tattered book;Rikkoutunut kirja
Tattered scroll;repaleinen rulla
Tattered eye patch;Räjähtynyt silmälappu
Tarromin seed;Tarromin siemen
Tarromin tar;Tarromin terva
Tatty graahk fur;Tatty graahk turkki
Tattered temple page;Repautunut temppelisivu
Tattered sun page;Ryhtynyt aurinkosivu
Tattered moon page;Repautunut kuun sivu
Tatty larupia fur;Tatty larupian turkki
Te salt;Suolaa
Taverley teleport;Taverley teleporttaa
Tchiki monkey nuts;Tchiki-apinapähkinät
Tea flask;Teepullo
Tatty kyatt fur;Tatty kyatt turkki
Tchiki nut paste;Tchiki-pähkinäpasta
Tea leaves;Teelehtiä
Tatty note;Tyhmä huomautus
Teacher wand;Opettajan sauva
Teak cabinet;Tiikkikaappi
Teak bookcase;Teak kirjahylly
Teak altar;Teak alttari
Teak chest;Tiikki rintakehä
Teak chair;teak tuoli
Teak armchair;teak nojatuoli
Teak armour case;Tiikki haarniskakotelo
Teak bird house;Tiikki lintutalo
Teak bed;Tiikki sänky
Teak cape rack;Tiikki viittateline
Teak clock;teak kello
Teak demon lectern;Teak demoni puhuja
Teak dresser;Teak lipasto
Teak costume box;Tiikkipukulaatikko
Teak drawers;Tiikki laatikot
Teak eagle lectern;Tiikkikotkan puhujapuhuja
Teak decoration;Teak koristelu
Teak drawer;Tiikki laatikko
Teak cupboard;Tiikkikaappi
Teak dining bench;Tiikkitiikkinen ruokapöytä
Teak lever;Tiikki vipu
Teak logs;Tiikkipuut
Teak ladder;Tiikki tikkaat
Teak feeder;Teak syöttölaite
Teak larder;Tiikkikaappi
Teak garden bench;Tiikkipuutarhapenkki
Teak magic wardrobe;Tiikki taika vaatekaappi
Teak house;teak talo
Teak fancy dress box;Tiikkipukulaatikko
Teak kitchen table;Tiikki keittiön pöytä
Teak pyre logs;Tiikkipiippuhirsiä
Teak scratching post;Tiikki raapimistolppa
Teak seed;Teak siemen
Teak seedling (w);tiikin taimi (w)
Teak seedling;Teak taimi
Teak plank;Tiikkilankku
Teak portal;Tiikki-portaali
Teak prize chest;Tiikki palkintoarkku
Teak shelves;Tiikki hyllyt
Teak sapling;Teak taimi
Teak shelves 1;Tiikkihyllyt 1
Teak throne;Tiikki valtaistuin
Teak staircase;Tiikkiportaat
Teak table;Tiikki pöytä
Teak shelves 2;Tiikki hyllyt 2
Teak toy box;Tiikki lelulaatikko
Teak wardrobe;Tiikki vaatekaappi
Teak stock;teak varastossa
Teak treasure chest;Tiikki aarrearkku
Teak telescope;Teak-teleskooppi
Team cape x;Joukkueen viitta x
Team cape zero;Joukkueen viitta nolla
Team cape i;Joukkueen viitta i
Teal robe top;Sinivihreä toppi
Teal boots;Sinivihreät saappaat
Teal robe bottoms;Sinivihreät viittahousut
Teal hat;Sinivihreä hattu
Teal gloves;Sinivihreät käsineet
Team-10 cape;Team-10 viitta
Team-1 cape;Team-1 viitta
Team-17 cape;Team-17 viitta
Team-18 cape;Team-18 viitta
Team-19 cape;Team-19 viitta
Team-13 cape;Team-13 viitta
Team-16 cape;Team-16 viitta
Team-15 cape;Team-15 viitta
Team-11 cape;Team-11 viitta
Team-14 cape;Team-14 viitta
Team-12 cape;Team-12 viitta
Team-2 cape;Team-2 viitta
Team-28 cape;Team-28 viitta
Team-23 cape;Team-23 viitta
Team-22 cape;Team-22 viitta
Team-24 cape;Team-24 viitta
Team-25 cape;Team-25 viitta
Team-26 cape;Team-26 viitta
Team-27 cape;Team-27 viitta
Team-29 cape;Team-29 viitta
Team-20 cape;Team-20 viitta
Team-21 cape;Team-21 viitta
Team-33 cape;Team-33 viitta
Team-36 cape;Team-36 viitta
Team-31 cape;Team-31 viitta
Team-32 cape;Team-32 viitta
Team-30 cape;Team-30 viitta
Team-35 cape;Team-35 viitta
Team-37 cape;Team-37 viitta
Team-3 cape;Team-3 viitta
Team-34 cape;Team-34 viitta
Team-38 cape;Team-38 viitta
Team-39 cape;Team-39 viitta
Team-41 cape;Team-41 viitta
Team-46 cape;Team-46 viitta
Team-42 cape;Team-42 viitta
Team-40 cape;Team-40 viitta
Team-43 cape;Team-43 viitta
Team-47 cape;Team-47 viitta
Team-4 cape;Team-4 viitta
Team-44 cape;Team-44 viitta
Team-45 cape;Team-45 viitta
Team-6 cape;Team-6 viitta
Team-5 cape;Team-5 viitta
Teapot;Teekannu
Team-9 cape;Team-9 viitta
Team-7 cape;Team-7 viitta
Team-50 cape;Team-50 viitta
Team-49 cape;Team-49 viitta
Team-48 cape;Team-48 viitta
Team-8 cape;Team-8 viitta
Teapot with leaves;Teekannu lehtineen
Teasing stick;Kiusaustikku
Teddy;Nalle
Teleport crystal (1);Teleport kristalli (1)
Technical plans;Tekniset suunnitelmat
Teleport card;Teleport kortti
Tektiny;Tektiny
Teleport crystal;Teleport kristalli
Tegid's soap;Tegidin saippua
Tekton's journal;Tektonin päiväkirja
Telekinetic grab;Telekineettinen ote
Teleport trap;Teleport ansa
Temple coin;Temppeli kolikko
Teleport crystal (4);Teleport kristalli (4)
Temple library key;Temppelin kirjaston avain
Teleport crystal (3);Teleport kristalli (3)
Temple key;Temppelin avain
Teleport crystal (5);Teleport kristalli (5)
Teleport crystal (2);Teleport kristalli (2)
Teleport focus;Teleport tarkennus
Teleport to house;Teleporttaa taloon
Terrorbird wing;Terrorbirdin siipi
Thatch spar dense;Olkapää tiheä
Thammaron's sceptre (u);Thammaronin valtikka (u)
Tenti pineapple;Tenti ananas
Tephra;Tephra
Tetra;Tetra
Terror dog;Terrori koira
Tentacle pool;Lonkero-allas
Thammaron's sceptre;Thammaronin valtikka
Thanksgiving dinner;Kiitospäivän illallinen
The desert;Aavikko
The great divide;Suuri jako
Thatch spar light;Olkivalo
The fisher's flute;Kalastajan huilu
Thatch spar med;Thatch spar med
The desert trout - ship's log;Aavikkotaimen - laivan loki
The living statues;Elävät patsaat
The shadow realm;Varjomaailma
The eight clans;Kahdeksan klaania
The butcher;Teurastaja
The spurned demon;Hylätty demoni
The turncloak;Kääntöviitta
Thieves' armband;Varkaiden käsivarsinauha
The truth behind the myth (excerpt);Totuus myytin takana (ote)
Thieving bag;Varastava laukku
The weeping;Itku
Thick dye;Paksu väriaine
The sleeping seven;Nukkuvat seitsemän
The wild hunt;Villi metsästys
The stuff;Tavaraa
Thieving cape(t);Thieving viitta (t)
Thieving hood;Varastava huppu
Thistle;Ohdake
Thin snail;Ohut etana
Thread;Kierre
Thin snail meat;Ohut etanan liha
Thieving tome;Varakas tomi
Thorny hedge;Piikikäs pensasaita
Thieving cape;Varasteleva viitta
Three barrels;Kolme tynnyriä
Tiger toy;Tiikeri lelu
Tiles;Laatat
Throwing rope;Heittoköysi
Tiara;Tiara
Time bubble;Aikakupla
Tile;Laatta
Tin;Tina
Tiara mould;Tiara muotti
Throne room;Valtaistuimen huone
Timber beam;Puinen palkki
Tin ore;Tina malmi
To-do list;Tehtävälista
Tiny net;Pieni verkko
Toad's legs;Rupikonnan jalat
Tiny tempor;Pieni tempo
Tip jar;Vihje purkki
Tin ore powder;Tinamalmijauhe
Tinderbox;Tulukset
Toad crunchies;Rupikonna rapeita
Toad batta;Rupikonna batta
Toktz-mej-tal;Toktz-mej-tal
Toadflax;Toadflax
Tok-xil;Tok-xil
Tofu;Tofu
Toadflax seed;Myrkkypellavan siemen
Toban's key;Tobanin avain
Tokkul;Tokkul
Toktz-ket-xil;Toktz-ket-xil
Toban's gold;Tobanin kultaa
Toadflax potion (unf);Toadflax juoma (unf)
Tomato;Tomaatti
Tomatoes(5);Tomaatit (5)
Toktz-xil-ul;Toktz-xil-ul
Toktz-xil-ek;Toktz-xil-ek
Tomatoes(3);Tomaatit (3)
Toktz-xil-ak;Toktz-xil-ak
Tomatoes(4);Tomaatit (4)
Tomato seed;Tomaatin siemen
Tomatoes(1);Tomaatit (1)
Tomatoes(2);Tomaatit (2)
Tome of experience (1);Kokemus (1)
Tome of fire;Tulipalo
Tome of the sun;Auringon tome
Tomberries;Tomberries
Tome of the temple;Temppelin tome
Tome of experience (3);Kokemus (3)
Tome of experience;Kokemusta
Tome of fire (empty);Tulipommi (tyhjä)
Tome of the moon;Kuun tomi
Tome of experience (2);Kokemus (2)
Tool store 5;Työkalukauppa 5
Top hat;Silinteri
Tool store 4;Työkalukauppa 4
Tome of water (empty);Tome vettä (tyhjä)
Tool store 3;Työkalukauppa 3
Toolkit;Toolkit
Tome of water;Tome vettä
Tool store 2;Työkalukauppa 2
Tool store 1;Työkalukauppa 1
Tooth half of key;Avaimen puolisko
Topaz bolts;Topaasi pultit
Topaz amulet (u);Topaasi amuletti (u)
Top hat & monocle;silinteri & monokli
Topaz bolt tips;Topaasipulttien kärjet
Topaz bracelet;Topaasi rannekoru
Top of sceptre;Valtikan yläosa
Topaz amulet;Topaasi amuletti
Topaz bolts (e);Topaasipultit (e)
Topaz dragon bolts (e);Topaasi-lohikäärmepultit (e)
Topaz dragon bolts;Topaasi-lohikäärmepultit
Topaz ring;Topaasi sormus
Topiary bush;Topiary pensas
Torag's hammers 50;Toragin vasarat 50
Torag's hammers 25;Toragin vasarat 25
Topaz necklace;Topaasi kaulakoru
Topiary hedge;Topiary suojaus
Torag's hammers;Toragin vasarat
Torag's hammers 100;Toragin vasarat 100
Torag's armour set;Toragin panssarisarja
Torag's hammers 0;Toragin vasarat 0
Torag's helm 75;Toragin ruori 75
Torag's platebody 0;Toragin levyrunko 0
Torag's platebody;Toragin levyrunko
Torag's helm 25;Toragin ruori 25
Torag's platebody 100;Toragin levyrunko 100
Torag's helm;Toragin ruori
Torag's helm 50;Toragin ruori 50
Torag's helm 0;Toragin ruori 0
Torag's hammers 75;Toragin vasarat 75
Torag's helm 100;Toragin ruori 100
Torag's platelegs 100;Toragin levyjalat 100
Torag's platelegs 25;Toragin levyjalat 25
Torag's platelegs 50;Toragin levyjalat 50
Torag's platebody 25;Toragin levyrunko 25
Torag's platelegs 75;Toragin levyjalat 75
Torag's platebody 50;Toragin levyrunko 50
Torag's platebody 75;Toragin levyrunko 75
Torag's platelegs 0;Toragin levyjalat 0
Torch;Soihtu
Torag's platelegs;Toragin levyjalat
Torn page;Revitty sivu
Torn clue scroll (part 2);Revitty vihjerulla (osa 2)
Torches;taskulamput
Torn clue scroll (part 3);Revitty vihjerulla (osa 3)
Torn prayer scroll;Revitty rukouskäärö
Tormented ornament kit;Kiusattu koristepaketti
Torn curtains;Revityt verhot
Tormented bracelet;Kiusattu rannekoru
Tormented bracelet (or);Kiusattu rannekoru (tai)
Torn clue scroll (part 1);Revitty vihjerulla (osa 1)
Torso;Torso
Torstol seed;Torstol siemen
Tower key;Tornin avain
Touch paper;Sytytyslanka
Torstol;Torstol
Tortoise shell;Kilpikonnan kuori
Torstol potion (unf);Torstolijuoma (unf)
Totem;Toteemi
Torn robe;Revitty viitta
Torture ornament kit;Kidutuskoristesarja
Toxic blowpipe (beta - dragon);Myrkyllinen puhallusputki (beta - lohikäärme)
Toxic blowpipe (beta - rune);Myrkyllinen puhallusputki (beta - riimu)
Toxic blowpipe (empty);Myrkyllinen puhallusputki (tyhjä)
Toxic blowpipe;Myrkyllinen puhallusputki
Toxic blowpipe (beta - mithril);Myrkyllinen puhallusputki (beta - mithril)
Toxic blowpipe (beta - steel);Myrkyllinen puhallusputki (beta - teräs)
Toxic blowpipe (beta - iron);Myrkyllinen puhallusputki (beta - rauta)
Toxic blowpipe (beta - black);Myrkyllinen puhallusputki (beta - musta)
Toxic blowpipe (beta - bronze);Myrkyllinen puhallusputki (beta - pronssi)
Toxic blowpipe (beta - adamant);Myrkyllinen puhallusputki (beta - päättäväinen)
Toy mouse;Lelu hiiri
Toxic staff of the dead;Kuolleiden myrkyllinen henkilökunta
Toy ship;Lelulaiva
Toxic naphtha;Myrkyllinen teollisuusbensiini
Toxic staff (uncharged);Myrkyllinen henkilökunta (maksuton)
Toy cat;Lelu kissa
Toxic powder;Myrkyllinen jauhe
Toy doll;Lelu nukke
Toy mouse (wound);Leluhiiri (haava)
Toy doll (wound);Lelunukke (haava)
Trailblazer axe;Trailblazer-kirves
Trailblazer banner;Trailblazer-banneri
Toy soldier;Lelu sotilas
Trading sticks;Kaupankäynnin tikkuja
Tracking map;Seuranta kartta
Traiborn note;Traiborn muistiinpano
Trailblazer adamant trophy;Trailblazer-tiukka pokaali
Trailblazer boots (t2);Trailblazer-saappaat (t2)
Toy soldier (wound);Lelusotilas (haava)
Trailblazer boots (t1);Trailblazer-saappaat (t1)
Trailblazer harpoon;Trailblazer harppuuna
Trailblazer hood (t3);Trailblazer-huppu (t3)
Trailblazer bronze trophy;Trailblazer-pronssipalkinto
Trailblazer hood (t2);Trailblazer-huppu (t2)
Trailblazer graceful ornament kit;Trailblazer siro koriste-setti
Trailblazer globe;Trailblazer-maapallo
Trailblazer boots (t3);Trailblazer-saappaat (t3)
Trailblazer hood (t1);Trailblazer-huppu (t1)
Trailblazer cane;Trailblazer-keppi
Trailblazer dragon trophy;Trailblazer-lohikäärmepalkinto
Trailblazer mithril trophy;Trailblazer mithril -palkinto
Trailblazer relic hunter (t2) armour set;Trailblazer relic hunter (t2) panssarisarja
Trailblazer rug;Trailblazer matto
Trailblazer rune trophy;Trailblazer-riimupokaali
Trailblazer relic hunter (t1) armour set;Trailblazer relic hunter (t1) panssarisarja
Trailblazer relic hunter (t3) armour set;Trailblazer relic hunter (t3) panssarisarja
Trailblazer steel trophy;Trailblazer-teräspalkinto
Trailblazer pickaxe;Trailblazer-hakku
Trailblazer teleport scroll;Trailblazer-teleporttirulla
Trailblazer iron trophy;Trailblazer rautapokaali
Trailblazer top (t3);Trailblazer toppi (t3)
Training bow;Harjoittelu jousi
Trailblazer top (t1);Trailblazer toppi (t1)
Trailblazer tool ornament kit;Trailblazer-työkalujen koristesarja
Training arrows;Koulutus nuolet
Trailblazer trousers (t3);Trailblazer-housut (t3)
Training manual;Koulutusopas
Trailblazer top (t2);Trailblazer toppi (t2)
Trailblazer trousers (t1);Trailblazer-housut (t1)
Trailblazer trousers (t2);Trailblazer-housut (t2)
Translation book;Käännöskirja
Transportation incantations;Kuljetusloitsuja
Transdimensional notes;Transdimensionaaliset nuotit
Training shield;Harjoittelusuoja
Training sword;Harjoittelu miekka
Translation;Käännös
Translated notes;Käännetyt muistiinpanot
Translation manual;Käännösopas
Translated note;Käännetty muistiinpano
Transvergence theory;Transvergenssiteoria
Treasure hunt;Aarteenetsintä
Treasure scroll;Aarrerulla
Treasure flag;Aarre lippu
Treasure stone;Aarre kivi
Treasonous ring (i);Petollinen sormus (i)
Treachery of royalty;Kuninkaallisten petos
Treasonous ring;Petollinen sormus
Trapdoor;Trapdoor
Treasure room;Aarrehuone
Treasure map;Aarre kartta
Tree;Puu
Tri-jester scarf;Tri-jester-huivi
Tree top;Puun latva
Tribal mask;Heimonaamio
Tree skirt;Puinen hame
Treaty;sopimus
Tri-jester hat;Tri-jester hattu
Triangle sandwich;Kolmion voileipä
Tree bauble;Puun koru
Tree wizards' journal;Tree velhojen päiväkirja
Tristessa's tragedy;Tristessan tragedia
Trident of the seas (e);Merien kolmikko (e)
Tribal top;Tribal toppi
Trident of the seas;Merien kolmikko
Trident of the swamp;Suon kolmikko
Trident of the swamp (e);Suon kolmikko (e)
Trident of the seas (full);Merien kolmikko (täysi)
Troll bone;Peikon luu
Tristan bust;Tristanin rintakuva
Troll guard;Trollin vartija
Trollheim teleport;Trollheim teleportti
Trout;Taimen
Trophy pedestal;Trophy jalusta
Troll potion;Peikkojuoma
Trolley;Kärry
Trouver parchment;Trouver pergamentti
Trollweiss;Trollweiss
Troll thistle;Peikko ohdake
Trousers;Housut
Tropical wagtail;Trooppinen wagtail
Tuna;Tonnikala
Tuna potato;Tonnikala peruna
Truth serum;Totuuden seerumi
Trowel;Lasta
Tuna and corn;Tonnikala ja maissi
Turquoise robe bottoms;Turkoosi kaapupohjat
Turquoise boots;Turkoosi saappaat
Turquoise hat;Turkoosi hattu
Turquoise robe top;Turkoosi toppi
Turoth;Turoth
Twisted (+)(2);Kierretty (+)(2)
Twisted (+)(4);Kierretty (+)(4)
Turquoise slayer helmet (i);Turkoosi Slayer-kypärä (i)
Twisted (-)(2);Kierretty (-)(2)
Twisted (+)(1);Kierretty (+)(1)
Turquoise slayer helmet;Turkoosi Slayer kypärä
Twigs;Oksat
Twill accord;Twill sopimaan
Twisted (-)(1);Kierretty (-)(1)
Twisted (+)(3);Kierretty (+)(3)
Twisted (-)(4);Kierretty (-)(4)
Twisted adamant trophy;Kierretty päättäväinen pokaali
Twisted ancestral robe top;Kierretty esi-isien kaapullinen toppi
Twisted boots (t1);Kierretyt saappaat (t1)
Twisted ancestral robe bottom;Kierretty esi-isien kaapullinen alaosa
Twisted banner;Kierretty banneri
Twisted blueprints;Kierretyt suunnitelmat
Twisted (-)(3);Kierretty (-)(3)
Twisted ancestral hat;Kierretty esi-isien hattu
Twisted ancestral colour kit;Kierretty esi-isien värisarja
Twisted boots (t2);Kierretyt saappaat (t2)
Twisted coat (t3);Kierretty takki (t3)
Twisted dragon trophy;Kierretty lohikäärmepalkinto
Twisted bow;Kierretty jousi
Twisted cane;Kierretty keppi
Twisted coat (t1);Kierretty takki (t1)
Twisted boots (t3);Kierretyt saappaat (t3)
Twisted bronze trophy;Kierretty pronssipalkinto
Twisted buckler;Kierretty solki
Twisted coat (t2);Kierretty takki (t2)
Twisted horns;Kierretyt sarvet
Twisted hat (t1);Kierretty hattu (t1)
Twisted hat (t3);Kierretty hattu (t3)
Twisted potion (1);Kierretty juoma (1)
Twisted potion (2);Kierretty juoma (2)
Twisted hat (t2);Kierretty hattu (t2)
Twisted mithril trophy;Kierretty mithril-palkinto
Twisted potion (3);Kierretty juoma (3)
Twisted potion (4);Kierretty juoma (4)
Twisted iron trophy;Kierretty rautapalkinto
Twisted rune trophy;Kierretty riimupalkinto
Twisted slayer helmet (i);Kierretty Slayer-kypärä (i)
Twisted relic hunter (t2) armour set;Twisted relic hunter (t2) panssarisarja
Twisted steel trophy;Kierretty teräspalkinto
Twisted trousers (t1);Kierretyt housut (t1)
Twisted relic hunter (t1) armour set;Twisted relic hunter (t1) panssarisarja
Twisted trousers (t2);Kierretyt housut (t2)
Twisted relic hunter (t3) armour set;Twisted relic hunter (t3) panssarisarja
Twisted teleport scroll;Kierretty teleporttirulla
Twisted slayer helmet;Kierretty Slayer-kypärä
Tyras helm;Tyras ruori
Tzhaar air rune pack;Tzhaar-ilmariimupaketti
Two barrels;Kaksi tynnyriä
Tzhaar fire rune pack;Tzhaar tuliriimupaketti
Tzhaar water rune pack;Tzhaar vesiriimupaketti
Twisted trousers (t3);Kierretyt housut (t3)
Tzhaar earth rune pack;Tzhaar maan riimupaketti
Tyrannical ring (i);Tyranninen rengas (i)
Tzhaar-hur;Tzhaar-hur
Tyrannical ring;Tyranninen rengas
Ugthanki & tomato;Ugthanki & tomaatti
Tzrek-jad;Tzrek-jad
Tzhaar-ket-om (t);Tzhaar-ket-om (t)
Tzrek-zuk;Tzrek-zuk
Tzhaar-ket-em;Tzhaar-ket-em
Tzhaar-ket-om;Tzhaar-ket-om
Tzhaar-ket-om ornament kit;Tzhaar-ket-om koristesarja
Ugthanki dung;Ugthanki lantaa
Ugthanki & onion;Ugthanki & sipuli
Ugthanki kebab;Ugthanki kebab
Ultimate ironman platelegs;Erinomaiset Ironman-levyjalat
Unblessed symbol;Siunaamaton symboli
Ultimate ironman platebody;Ylivoimainen Ironman-levyrunko
Ugthanki meat;Ugthanki lihaa
Ultracompost;Ultrakomposti
Ultimate ironman helm;Ylivoimainen Ironman-ruori
Uncharged toxic trident;Varautumaton myrkyllinen kolmijakoinen
Uncharged trident;Lataamaton kolmioharkka
Uncharged trident (e);Varaamaton kolmioharkka (e)
Uncharged toxic trident (e);Varaamaton myrkyllinen kolmioharkka (e)
Uncooked dragonfruit pie;Kypsentämätön lohikäärmepiirakka
Uncooked mushroom pie;Kypsentämätön sienipiirakka
Uncooked curry;Kypsentämätön curry
Uncooked cake;Kypsentämätön kakku
Uncooked berry pie;Kypsentämätön marjapiirakka
Uncooked meat pie;Kypsentämätön lihapiirakka
Uncooked apple pie;Kypsentämätön omenapiirakka
Uncooked botanical pie;Kypsentämätön kasvitieteellinen piirakka
Uncooked egg;Kypsentämätön muna
Uncleaned find;Puhdistamaton löytö
Uncooked pizza;Kypsentämätön pizza
Uncut diamond;Hiomaton timantti
Uncut opal;Leikkaamaton opaali
Uncooked stew;Kypsentämätön muhennos
Uncut ruby;Leikkaamaton rubiini
Uncut emerald;Leikkaamaton smaragdi
Uncut jade;Leikkaamaton jade
Uncut dragonstone;Leikkaamaton lohikäärmekivi
Uncut onyx;Leikkaamaton onyx
Uncut red topaz;Leikkaamaton punainen topaasi
Unfermented wine;Käymätön viini
Uncut zenyte;Leikkaamaton zenyte
Unfinished batta;Keskeneräinen batta
Undead chicken;Epäkuollut kana
Undead twigs;Undead oksia
Unfinished blood potion;Keskeneräinen verijuoma
Uncut sapphire;Leikkaamaton safiiri
Undead cow ribs;Undead lehmän kylkiluut
