A Clam Shell;Ett musslaskal
Red Star Fungi;Röda stjärnsvampar
Red Water Sign;Rött vatten tecken
Red banner;Röd banderoll
Red chemical;Röd kemikalie
Red door;Röd dörr
Red flowers;Röda blommor
Red fungi;Röda svampar
Red rose bush patch;Röd rosenbuskefläck
Redberry bush;Rödbärsbuske
Redwood;Redwood
Redwood birdhouse;Redwood fågelholk
Redwood birdhouse (empty);Redwood fågelholk (tom)
Redwood fence;Redwood staket
Redwood fence post;Redwood staketstolpe
Redwood tree;Redwood träd
Redwood tree patch;Redwood träd patch
Reeds;Vass
Refinery;Raffinaderi
Reinforced crate;Förstärkt låda
Reinitialisation Panel;Ominitieringspanel
Repair Locker;Reparera skåp
Repair bench;Reparationsbänk
Repair space;Reparationsutrymme
Repaired Roof;Reparerat tak
Repaired furnace;Reparerad ugn
Repaired leak;Reparerad läcka
Repaired wall;Reparerad vägg
Reset Lever;Återställ spak
Restraining Table;Fasthållningsbord
Restraint Table;Fasthållningsbord
Retorts;Retorter
Return Orb;Returnera Orb
Reward Chest;Belöningskista
Reward chest;Belöningskista
Reward pool;Belöningspool
Rewards Chest;Belöningskista
Rewards chest;Belöningskista
Rickety door;Rakig dörr
Rift;Reva
Right side of a fireplace;Höger sida av en öppen spis
Ring of Stones;Ring av stenar
Rinsing pool;Sköljpool
Ripples;Ripples
River;Flod
Rock;Sten
Rock Chair;Rock stol
Rock Formation;Stenformation
Rock Formation (Depleted);Stenformation (utarmad)
Rock Formation (Glowing);Stenformation (glödande)
Rock Pile;Stenhög
Rock and string;Rock och stråke
Rock debris;Stenskräp
Rock of Dalgroth;Rock of Dalgroth
Rock pile;Stenhög
Rock slide;Bergrutschkana
Rock wall;Klippvägg
Rockery;Stenparti
Rockfall;Stenfall
Rocking chair;Gungstol
Rocking unicorn;Gungande enhörning
Rockpile;Rockpile
Rocks;Stenar
Rockslide;Bergskred
Rocky Ledge;Rocky Ledge
Rocky handholds;Steniga handtag
Rocky ledge;Stenig avsats
Rocky outcrop;Stenig berghäll
Rocky shore;Stenig strand
Rocky support;Stenigt stöd
Rocky surface;Stenig yta
Rocnar;Rocnar
Rolled up rug;Upprullad matta
Rolled up rugs;Upprullade mattor
Rolling pin;Kavel
Roof;Tak
Roof Entrance;Takingång
Roof Exit;Takutgång
Roof edge;Takkant
Roof top beams;Takbjälkar
Rooftop Agility display;Rooftop Agility display
Root;Rot
Roots;Rötter
Rope;Rep
Rope Ladder;Repstege
Rope anchor;Repankare
Rope bell-pull;Rep bell-pull
Rope bridge;Repbro
Rope bridge support;Repbrostöd
Rope ladder;Repstege
Rope swing;Repgunga
Roped tree;Repet träd
Ropes;Tågvirke
Ropeswing;Ropeswing
Rose bush;Rosenbuske
Rosebush;Rosebush
Rosemary;Rosmarin
Roses;Rosor
Rotten Apple Pile;Rutten äppelhög
Rotten Totem pole;Rutten totempåle
Rotten Yommi;Rutten Yommi
Rotten Yommi tree;Ruttent Yommi-träd
Rotten carpet;Rutten matta
Rotten food;Rutten mat
Rotten sapling;Rutten planta
Rotten stump;Rutten stubbe
Rotten village fence;Rutten bystaket
Rotting branch;Rutnande gren
Rotting log;Rutnande stock
Rotting tree;Rutnande träd
Rough hewn steps;Grovhuggna trappsteg
Rough wall;Grov vägg
Round shield;Rund sköld
Row boat;Roddbåt
Rowboat;Roddbåt
Rowboat space;Roddbåtsutrymme
Royal Wedding Invitation;Kunglig bröllopsinbjudan
Rubber cap mushroom;Gummihattsvamp
Rubble;Spillror
Rubble Pile;Gruvstenshög
Rug;Matta
Rug space;Mattutrymme
Ruined Pillar;Förstörd pelare
Ruined Stall;Förstört stall
Ruined stall;Förstört stall
Ruins;Ruiner
Ruins Entrance;Ruinentré
Ruins Exit;Ruins Exit
Rum Crate;Rom Crate
Rune Essence;Rune Essence
Rune armour;Rune rustning
Rune case space;Rune fall utrymme
Rune display case;Rune monter
Rune dragon;Rune drake
Rune essence;Rune essens
Rune pouches;Runepåsar
Rune temple sign;Rune tempel tecken
Runecrafting altar;Runecrafting altare
Runic Altar;Runaltare
Runite Minor;Runit moll
Runner trap(1);Löparfälla(1)
Runner trap(2);Löparfälla(2)
Rupert;Rupert
Ruptured cavern;Bruten grotta
Rusted anvil;Rostigt städ
Rusty key;Rostig nyckel
S.T.A.S.H chart;S.T.A.S.H-diagram
STASH (beginner);STASH (nybörjare)
STASH (easy);STASH (lätt)
STASH (elite);STASH (elit)
STASH (hard);STASH (hårt)
STASH (master);STASH (master)
STASH (medium);STASH (medium)
Sabertooth Squirrel;Sabeltands ekorre
Sack;Säck
Sack Pile;Säckhög
Sack pile;Säckhög
Sacks;Säckar
Sacred Bone Burner;Helig benbrännare
Sacred Forge;Helig smedja
Sacred water;Heligt vatten
Sacrificial Pyre;Offerbål
Sacrificial boat;Offerbåt
Safe;Säker
Sail;Segla
Sailfish;Segelfisk
Sails;Segel
Saltpetre;Salpeter
Salve Graveyard Portal;Salve kyrkogårdsportal
Sample table;Exempeltabell
Sand;Sand
Sand pile;Sandhög
Sand pit;Sandgrop
Sandpit;Sandlåda
Sandworm castings;Sandmaskgjutningar
Sandy's Coffee Mug;Sandys kaffemugg
Sandy's Desk;Sandys skrivbord
Sapling;Ungt träd
Sarachnis display;Sarachnis display
Saradomin Brazier;Saradomin Brazier
Saradomin Portal;Saradomin portal
Saradomin Standard;Saradomin Standard
Saradomin altar;Saradominernas altare
Saradomin staff;Saradomin personal
Saradomin star;Saradomin stjärna
Sarah (Well);Sarah (tja)
Sarah (ghastly!);Sarah (hemskt!)
Sarah (sick!);Sarah (sjuk!)
Sarah (very sick!);Sarah (mycket sjuk!)
Sarcophagus;Sarkofag
Saucepan;Kastrull
Scaffold;Ställning
Scaffolding;Ställningar
Scarecrow;Fågelskrämma
Scaregull;Scaregull
Schematic crate;Schematisk låda
Scimitar Stall;Scimitar Stall
Scorched earth;Bränd jord
Score board;Poängtavla
Scoreboard;Resultattavla
Scrapey Bark Sign;Scrapey Bark Sign
Scrapey Tree;Scrapey träd
Scratching post space;Skrapande stolputrymme
Scrawled note;Klottrad lapp
Screen;Skärm
Scroll;Rulla
Scroll rack;Scrollställ
Scroll table;Rulla tabell
Scrolls;Rullar
Scrying orb;Skrikande klot
Scrying pool;Skrattande pool
Sculpture;Skulptur
Scuttle;Rusa
Seal of Amlodd;Amlodds sigill
Seal of Cadarn;Sigill av Cadarn
Seal of Crwys;Sigill av Crwys
Seal of Hefin;Sigill av Hefin
Seal of Iorwerth;Sigill av Iorwerth
Seal of Ithell;Ithells sigill
Seal of Meilyr;Sigill av Meilyr
Seal of Trahaearn;Sigill av Trahaearn
Seal of the Forgotten;Sigill av de glömda
Seating space;Sittplats
Seaweed;Tång
Seaweed Pile;Tånghög
Seaweed patch;Tångfläck
Secret Door;Hemlig dörr
Secret entrance;Hemlig ingång
Secure chest;Säker bröstkorg
Security Barrier;Säkerhetsbarriär
Seed Stall;Fröstall
Seed table;Fröbord
Seed vault;Frövalv
Seers weathervane;Seers väderflöjel
Seers' Village Portal;Siarnas byportal
Senntisten Portal;Senntisten Portal
Septic tendrils;Septiska rankor
Servant's moneybag;Tjänarens pengapåse
Seven;Sju
Sewer pipe;Avloppsrör
Sewer valve;Avloppsventil
Sewing machine;Symaskin
Shackle table;Shackle bord
Shadow crystal;Skuggkristall
Shadow root;Skuggrot
Shaking box;Skaklåda
Shantay pass;Shantay pass
Shape puzzle;Formpussel
Shark Beast;Shark Beast
Shark head;Hajhuvud
Shattered rockface;Krossad klippvägg
Shaving stand;Rakställ
Shayzien banner;Shayzien banner
Shayzien snapped banner;Shayzien knäppte banderoll
Shayzien statue;Shayzien staty
Shelf;Hylla
Shelf of thread;Hylla av tråd
Shelf space;Hyllplats
Shell;Skal
Shelves;Hyllor
Shelves space;Hyllutrymme
Shield;Skydda
Shield Display;Shield Display
Shield display;Shield display
Shimmering barrier;Skimrande barriär
Shimmering field;Skimrande fält
Shining pool;Skinande pool
Ship;Fartyg
Ship hull;Fartygsskrov
Ship's ladder;Skeppsstege
Ship's wheel;Skeppshjul
Shoe box;Skokartong
Shooting Star Noticeboard;Shooting Star Anslagstavla
Shop Counter;Butiksdisk
Shop counter;Butiksdisk
Short Plant;Kort växt
Short fence;Kort staket
Short planks;Korta plankor
Shortcut;Genväg
Shot;Skott
Shrine;Helgedom
Shrivelled plant;Skrumlad växt
Shuttered window;Slutat fönster
Sickle logo;Sickle logotyp
Sign;Tecken
Sign post;Skylt
Signpost;Vägvisare
Silk stall;Silkes stall
Silver Chest;Silverkista
Silver stall;Silver stall
Silverlight;Silverlight
Simple lockbox;Enkel låsbox
Simple stove;Enkel spis
Sinclair family beehive;Sinclair familjens bikupa
Sinclair family compost heap;Sinclair familjens komposthög
Sinclair family crest;Sinclairs familjevapen
Sinclair family fountain;Sinclair familj fontän
Sinclair mansion drain;Sinclair herrgårdsavlopp
Singing Bowl;Sångskål
Singing bowl;Sångskål
Single pillar;Enkel pelare
Sinister barrel;Hemsk tunna
Sink;Sjunka
Sink space;Diskbänksutrymme
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Sir Bedivere
Sir Lancelot;Sir Lancelot
Sir Lucan;Sir Lucan
Sir Palomedes;Sir Palomedes
Sir Tristram;Sir Tristram
Sithik Ints;Sithik Ints
Six;Sex
Skeleton;Skelett
Skotizo Topiary;Skotizo Topiary
Skotizo display;Skotizo display
Skrach Uglogwee;Skrach Uglogwee
Skroom;Skroom
Skull;Skalle
Skull slope;Skallens lutning
Skulls;Döskallar
Skullshield;Skullshield
Slab;Platta
Slashed Bush;Skär av Bush
Slashed bush;Nedskuren buske
Slashed tapestry;Nedskuren gobeläng
Slashed web;Nedskuren webb
Slave;Slav
Slayer Helmet display case;Slayer Helmet monter
Slayer's Respite;Slayer's Respite
Sleeping bag;Sovsäck
Sliced web;Skivad nät
Slight indentations;Små indragningar
Slightly broken bridge;Något trasig bro
Slightly dark crystal;Lite mörk kristall
Slimy pillars;Slemmiga pelare
Slimy residue;Slemmiga rester
Slimy water;Slemmigt vatten
Slope;Sluttning
Slope end;Sluttände
Slug goo;Slug goo
Sluice Gate;Slussport
Small Boulder;Liten stenblock
Small Fossil Display;Liten fossil display
Small Geyser;Liten gejser
Small Oven;Liten ugn
Small Plant space 1;Litet anläggningsutrymme 1
Small Plant space 2;Litet anläggningsutrymme 2
Small Table;Litet bord
Small bush;Liten buske
Small chest;Liten bröstkorg
Small crystals;Små kristaller
Small fern;Liten ormbunke
Small fountain;Liten fontän
Small furnace;Liten ugn
Small gravestone;Liten gravsten
Small orrery;Liten orrery
Small oven;Liten ugn
Small plant;Liten växt
Small plant 2;Liten växt 2
Small rock;Liten sten
Small storage unit;Liten förvaringsenhet
Small table;Litet bord
Small vase;Liten vas
Smashed cage;Krossad bur
Smashed chair;Krossad stol
Smashed table;Krossat bord
Smashed window;Krossat fönster
Smelly hole;Stinkande hål
Smelly mushroom;Luktande svamp
Smoke;Rök
Smoke Crystal;Rökkristall
Smokey well;Smokey väl
Smoking vent;Rökventil
Smoky cave;Rökig grotta
Snake;Orm
Snape grass plant;Snape gräs växt
Snape grass seedling;Snape gräs planta
Snow;Snö
Snow drift;Snödriva
Snow jump;Snöhopp
Snowdrop patch;Snowdrop patch
Snowdrops;Snödroppar
Snowfall;Snöfall
Snowy bird hide;Snöig fågelgömma
Sofa;Soffa
Soil;Jord
Soil patch;Jordfläck
Soldier;Soldat
Solid black door;Solid svart dörr
Solid bronze door;Dörr i massiv brons
Solid gold door;Dörr i massivt guld
Solid silver door;Solid silverdörr
Solid steel door;Solid ståldörr
Soul Altar;Själsaltare
Soul Devourer;Soul Devourer
Soul Obelisk;Soul Obelisk
Soul Wars Portal;Soul Wars Portal
Soul boat;Själsbåt
Soul rift;Själsspricka
Space;Utrymme
Spade;Spade
Sparkling pool;Glittrande pool
Spear wall;Spear wall
Speartrap;Spjutfälla
Specimen;Prov
Specimen table;Provtabell
Specimen tray;Provbricka
Sphinx;Sfinx
Spice Rack;Kryddställ
Spice stall;Kryddbod
Spider eggs;Spindelägg
Spiders' nest;Spindlars bo
Spiderwebs;Spindelnät
Spike defence;Spike försvar
Spike hidden;Spike gömd
Spike trap;Spikfälla
Spiked pit;Piggad grop
Spikes;Spikar
Spikey chain;Spikey kedja
Spin Blades;Snurra blad
Spine mushroom;Ryggsvamp
Spinning Machine;Spinnmaskin
Spinning Wheel;Spinnrock
Spinning blades;Spinnande blad
Spinning light;Snurrande ljus
Spinning pipe;Spinnande rör
Spinning pole;Spinnstång
Spinning wheel;Spinnrock
Spiny bush;Taggig buske
Spirit Angler dock;Spirit Angler docka
Spirit Angler stats;Spirit Angler statistik
Spirit Tree;Ande träd
Spirit Tree Patch;Spirit Tree Patch
Spirit Tree Stump;Ande trädstubb
Spirit pump;Spritpump
Spirit tendrils;Anderankor
Spirit tree;Andeträd
Spiritual Fairy Tree;Andligt Fairy Tree
Spit roast;Spitstek
Spooky picture;Skrämmande bild
Spooky stairs;Spöklika trappor
Spore;Spor
Spork;Spork
Spotlight;Strålkastare
Spray;Spray
Sprouting Roots;Spirande rötter
Sq'irk tree;Sq'irk träd
Square shield;Fyrkantig sköld
Stacked Boxes;Staplade lådor
Stacked barrels;Staplade tunnor
Stacked crates;Staplade lådor
Staff barrel;Personaltunna
Staff of Bob the Cat;Personal av Katten Bob
Stagnant Lake;Stillastående sjö
Stagnant fish display;Stillastående fiskvisning
Stained-glass window;Fönster i målat glas
Stair Space;Trapputrymme
Staircase;Trappa
Stairs;Trappa
Stairs down;Trappor ner
Stairs up;Trappor upp
Stairwell;Trapphus
Stalactite;Stalaktit
Stalagmite;Stalagmit
Stalagmites;Stalagmiter
Stall;Bås
Stand;Stå
Standard;Standard
Standard Stand;Standardställ
Standing Torch;Stående Fackla
Standing spears;Stående spjut
Standing stone;Stående sten
Standing torch;Stående ficklampa
Star chart;Stjärndiagram
Start;Start
Statue;Staty
Statue Plinth;Staty Sockel
Statue Space;Staty utrymme
Statue of Baxtorian;Staty av Baxtorian
Statue of Glarial;Staty av Glarial
Statue of Guthix;Staty av Guthix
Statue of Saradomin;Staty av Saradomin
Statue of Zamorak;Staty av Zamorak
Statue of a king;Staty av en kung
Statue of a queen;Staty av en drottning
Statue of a warrior;Staty av en krigare
Statue plinth;Staty sockel
Statue space;Staty utrymme
Statue steps;Staty steg
Statue with key;Staty med nyckel
Statuette Plinth;Statyett Sockel
Statuette in alcove;Statyett i alkov
Steam Generator;Ånggenerator
Steam Pump;Ångpump
Steam Vent;Steam Vent
Steam generator;Ånggenerator
Steam press;Ångpress
Steam_Pump;Steam_Pump
Steel Chest;Stålkista
Steel cage;Stålbur
Steel dragon;Drake av stål
Steel range;Stålsortiment
Steep roof;Brant tak
Steeple;Torn
Stepladder;Trappstege
Stepping Stone;Stepping Stone
Stepping log;Steglogg
Stepping stone;Språngbräda
Stepping stones;Trappstenar
Steps;Steg
Stick;Stick
Stick and hoop;Stick och ring
Sticks;Pinnar
Stile;Stätta
Stinking tendrils;Stinkande rankor
Stocks;Aktier
Stone;Sten
Stone Door;Stendörr
Stone Gate;Stenport
Stone Ladder;Stenstege
Stone Mechanism;Stenmekanism
Stone Pew;Stone Pew
Stone Pile;Stenhög
Stone Plinth;Stensockel
Stone Relief;Stenrelief
Stone Staircase;Stentrappa
Stone Tablet;Sten tablett
Stone arch;Stenbåge
Stone block;Stenblock
Stone bridge;Stenbro
Stone chest;Stenkista
Stone circle wall;Sten cirkel vägg
Stone crate;Sten låda
Stone crusher;Stenkross
Stone door;Stendörr
Stone ladder;Stenstege
Stone pedestal;Sten piedestal
Stone pool;Sten pool
Stone signpost;Sten vägvisare
Stone space;Stenutrymme
Stone stand;Stenställ
Stone table;Stenbord
Stone tablet;Stentavla
Stone wall;Stenmur
Stones;Stenar
Stool;Pall
Stool hotspot;Pall hotspot
Stop!;Stopp!
Storage crate;Förvaringslåda
Storage shelves;Förvaringshyllor
Storage space;Förvaringsutrymme
Storage unit;Förvaringsenhet
Storeroom Door;Förrådsdörr
Stormram;Stormram
Stove;Spis
Stove space;Spisplats
Strange Banana Tree;Konstigt bananträd
Strange Bells;Konstiga klockor
Strange Egg;Konstigt ägg
Strange Machine;Konstig maskin
Strange Shell;Konstigt skal
Strange Tile;Konstigt kakel
Strange altar;Konstigt altare
Strange blocks;Konstiga block
Strange floor;Konstigt golv
Strange grid;Konstigt rutnät
Strange hole;Konstigt hål
Strange looking stone;Sten som ser konstigt ut
Strange machine;Konstig maskin
Strange passage;Konstig passage
Strange plant;Konstig växt
Strange pool;Konstig pool
Strange shrine;Konstig helgedom
Strange stone;Konstig sten
Strange wall;Konstig vägg
Strategy table;Strategitabell
Strawberry;Jordgubbe
Strawberry plant;Jordgubbsplanta
Strawberry seed;Jordgubbsfrö
Streak info;Sträckinformation
Stretcher;Bår
Strong Tree;Starkt träd
Strong Yew;Stark idegran
Stronghold;Fäste
Structural pillar;Strukturell pelare
Strut;Stag
Studded Leather;Dubbat läder
Students' art;Elevernas konst
Study Desk;Studiebord
Study desk;Arbetsbord
Stuffed swordfish;Uppstoppad svärdfisk
Stump;Stubbe
Stump chair;Stubbe stol
Sturdy door;Stabil dörr
Sturdy wooden gate;Kraftig träport
Suit of Armour;Rustning
Suit of armour;rustning
Sulliuscep;Sulliuscep
Sulliuscep sprout;Sulliuscep grodd
Sulphur;Svavel
Sulphur Vent;Svavelventil
Sulphur vent;Svavelventil
Sunflower;Solros
Sunflowers;Solrosor
Sunken rowboat;Sjunken roddbåt
Super magic potion;Super trolldryck
Super ranging potion;Superavståndsdryck
Supermajority marker;Supermajoritetsmarkör
Supplies;Tillbehör
Supply chest;Tillförsel kista
Support;Stöd
Supporting Pillar;Stödpelare
Suspicious footprints;Misstänkta fotspår
Swamp;Träsk
Swamp Boaty;Träskbåt
Swamp bubbles;Träskbubblor
Swamp paste;Träskpasta
Swamp tree;Träskträd
Swamp tree branch;Träskgren
Swampy lamp;Sumpig lampa
Swampy sink;Sumpig handfat
Swaying tree;Svängande träd
Sweet;Ljuv
Sweetcorn;Sockermajs
Sweetcorn plant;Sockermajsväxt
Sweetcorn seed;Sockermajsfrö
Sweetgrub Mound;Sweetgrub Mound
Sweetgrub Sign;Sweetgrub tecken
Sweets;Sötsaker
Swings;Gungor
Switch;Växla
Sword cabinet;Svärdskåp
Sword case;Svärdfodral
Sword in stone;Svärd i sten
Sword space;Svärd utrymme
Swords;Svärd
Swordshop Sign;Swordshop tecken
Symbol;Symbol
Symbol of Guthix;Symbol för Guthix
Symbol of Saradomin;Symbol för Saradomin
Symbol of Zamorak;Symbol för Zamorak
Symbol of life;Symbol för livet
Table;Tabell
Table and till;Bord och kassa
Table blockade;Bordsblockad
Table hotspot;Bordshotspot
Table parts;Bordsdelar
Table saw;Bordssåg
Table space;Bordsplats
Tactical map frame;Taktisk kartram
Tailor's materials;Skräddarmaterial
Tall Plant;Hög växt
Tall Reeds;Höga vassar
Tall mirror;Hög spegel
Tall tree;Högt träd
Tall vine;Hög vinstock
Tangle hidden;Härva ​​gömd
Tangle vine;Tangle vinstockar
Tanning Barrel;Tanning Barrel
Tanning line;Tanning linje
Tap;Knacka
Tapestry;Gobeläng
Tar Barrel;Tjära fat
Tar Thing;Tar Thing
Tar barrel;Tjärtunna
Tar buckets;Tjära hinkar
Target;Mål
Tchiki Monkey Nut Bush;Tchiki Monkey Nut Bush
Te salt;Te salt
Tea stall;Te stall
Teak;Teak
Teak Tree;Teakträd
Teak bench;Bänk i teak
Teak birdhouse;Fågelholk i teak
Teak birdhouse (empty);Fågelholk i teak (tom)
Teak cape rack;Kappställ i teak
Teak chest;Teak bröst
Teak drawers;Teak lådor
Teak feeder;Teakmatare
Teak house;Teakhus
Teak prize chest;Priskista i teak
Teak scratching post;Skrapstolpe i teak
Teak table;Bord i teak
Teak wall decoration;Väggdekor i teak
Teak wardrobe;Garderob i teak
Telekinetic Teleport;Telekinetic Teleport
Teleport Platform;Teleporteringsplattform
Teleport crystal;Teleportera kristall
Teleport hidden;Teleportera dold
Teleport space;Teleportera utrymme
Teleport trap;Teleportera fälla
Teleportation Device;Teleporteringsenhet
Teleportation focus;Teleporteringsfokus
Telescope;Teleskop
Telescope space;Teleskop utrymme
Temp Stone 4 Zip;Temp Stone 4 Zip
Temperature gauge;Temperaturmätare
Temple Door;Tempeldörr
Temple door;Tempeldörr
Temple wall;Tempelvägg
Ten;Tio
Tendrils;rankor
Tent;Tält
Tent door;Tältdörr
Tent flap;Tältklaff
Tent pole;Tältstång
Tent roof;Tälttak
Tent wall;Tältvägg
Terminal;Terminal
Terror Snail;Terror snigel
Thana;Thana
The Cloister Bell;Klosterklockan
The Font of Consumption;Konsumtionens teckensnitt
The Gauntlet;Gauntlet
The Great Expedition;Den stora expeditionen
The Grotesque Guardians' display;De Grotesque Guardians uppvisning
The Inferno;Inferno
The Jormungand;Jormungand
The Maiden of Sugadinti;Jungfrun av Sugadinti
The Sheared Ram;Den klippta baggen
The jury;Juryn
The middle of a fireplace;Mitt i en öppen spis
Theatre of Blood;Teater av blod
Theme space;Tema utrymme
Thermonuclear Smoke Devil Display;Termonukleär Smoke Devil Display
Thick Web;Tjock webb
Thick vine;Tjock vinstock
Thick vines;Tjocka vinstockar
Thingymajig;Thingymajig
Thistle;Tistel
Thorns;Taggar
Thorny bushes;Taggiga buskar
Three;Tre
Throne;Tron
Throne Room Door;Dörr till tronrummet
Throne of Weiss;Throne of Weiss
Throne space;Tronutrymme
Ticket Dispenser;Biljettautomat
Tight Gap;Tight Gap
Tight-gap;Tight-mellanrum
Tightrope;Spänd lina
Tile;Bricka
Till;Till
Timber;Timmer
Timber defence;Timmerförsvar
Timeline;Tidslinje
Tin bath;Plåtbadkar
Tiny storage unit;Liten förvaringsenhet
Tip jar;Spetsburk
Tip jar space;Spetsburkutrymme
Tithe patch;Tiondelapp
Toadstool;Paddsvamp
Toadstools;Paddsvampar
Tok-Xil;Tok-Xil
Tomato;Tomat
Tomato plant;Tomatplanta
Tomb;Grav
Tomb Door;Gravdörr
Tomb dolmen;Gravdolmen
Tomb doors;Gravdörrar
Tomb exit;Gravutgång
Tombstone;Gravsten
Tool Storage;Verktygsförvaring
Tool space;Verktygsutrymme
Tools;Verktyg
Topiary bush;Topiary buske
Topiary space;Topiary utrymme
Torch;Fackla
Torture Rack;Tortyrställ
Totem;Totem
Totem Pole;Totempåle
Totem pole;Totempåle
Tower;Torn
Tower door;Torndörr
Tower ladder;Tornstege
Toy Stall;Leksaksstall
Toy box;Leksakslåda
Toy box space;Leksakslåda utrymme
Toy bricks;Leksakstegelstenar
Toy corner;Leksakshörna
Toy range;Leksakssortiment
Toy sink;Handfat för leksaker
Toy table;Leksaksbord
Toy weapons;Leksaksvapen
Track;Spåra
Track support;Spårstöd
Tracks;Spår
Trahaearn Banner;Trahaearn Banner
Trailblazer globe;Banbrytare klot
Trailblazer rug;Banbrytande matta
Train cart;Tågvagn
Training dummy;Träningsdocka
Transport platform;Transportplattform
Trap;Fälla
Trap Door;Falldörr
Trap bypass;Förbigång av fällan
Trap space;Fånga utrymme
Trapdoor;Fallucka
Trapdoor space;Falldörrsutrymme
Trapdoor table;Falldörrsbord
Trapdoor tunnel;Falldörrstunnel
Trashed Patch;Trashed Patch
Travel cart;Resevagn
Trawler net;Trålarnät
Treadmill;Löpband
Treasure Hunt Fairy House;Treasure Hunt Fairy House
Treasure Trail Statistics;Skattstigsstatistik
Treasure chest;Skattkista
Treasure chest space;Skattkista utrymme
Treasure room;Skattrum
Treasure space;Skattutrymme
Treated patch;Behandlat plåster
Trebuchet;Trebuchet
Tree;Träd
Tree Door;Träddörr
Tree Stump;Trädstubbe
Tree branch;Trädgren
Tree patch;Trädfläck
Tree space;Trädutrymme
Tree stump;Trädstubbe
Tree trunk;Trädstam
Trellis;Spalje
Trellis top;Spaljétopp
Tribal Statue;Stamstaty
Tribal statue;Stamstaty
Trimmed Yommi;Trimmad Yommi
Tripwire;Snubbeltråd
Troll;Troll
Troll Stew;Trollgryta
Troll Stronghold Portal;Troll Stronghold Portal
Troll ladder;Trollstege
Trolley;Vagn
Trophy case space;Trofélåda utrymme
Trophy pedestal;Trofé piedestal
Tropical Leaves;Tropiska löv
Tropical leaves;Tropiska löv
Tropical tree;Tropiskt träd
Trough;Tråg
Trumpet;Trumpet
Trunk;Trunk
Tube;Rör
Tulips;Tulpaner
Tunnel;Tunnel
Tunnel entrance;Tunnelingång
Tunnel roof;Tunneltak
Tunnel wall;Tunnelvägg
Twigs;Kvistar
Twisted Bow;Vriden båge
Twisted Crate;Vriden låda
Twisted bush;Vriden buske
Two;Två
Twocan;Twocan
TzHaar Flag;TzHaar flagga
TzHaar statue;TzHaar staty
Tzkal-Zuk display;Tzkal-Zuk display
Uncooking pot;Avkokar gryta
Undead combat dummy;Odöda stridsdocka
Underwall tunnel;Underväggstunnel
Underwater Cavern Entrance;Underwater Cavern Entré
Unferth's patch;Unferths patch
Unicorn;Enhörning
Unicorn Statue;Enhörningsstaty
Unicorn's head;Unicorns huvud
Unlit candle;Otänt ljus
Unlocked Ogre chest;Olåst Ogre-kista
Unoccupied Cormorant perch;Oupptagen skarvabborre
Unstable Altar;Instabilt altare
Urn;Urna
Urt salt;Urt salt
Utensil Stall;Redskapsstall
Utensil cupboard;Redskapsskåp
Valve;Ventil
Vampyre statue;Vampyr staty
Vampyre tomb;Vampyrgrav
Vanilla plant;Vaniljplanta
Varrock Portal;Varrock Portal
Vase;Vas
Vase set;Vas set
Vat;Moms
Vault;Valv
Vault Door;Valvdörr
Veg stall;Veg stall
Vegetable Stall;Grönsaksstall
Velvet chair;Sammetsstol
Velvet round chair;Rund sammetsstol
Velvet stool;Sammetspall
Vent;Ventilera
Verzik Vitur;Verzik Vitur
Verzik Vitur display;Verzik Vitur display
Verzik's throne;Verziks tron
Veteran Flag;Veteran flagga
Vials;Vials
Viewer;Visare
Viewing orb;Visar klot
Village fence;Bystaket
Vine;Vin
Vine ladder;Vintrappa
Vine patch;Vinstockar
Vines;Vines
Volcanic Forge;Volcanic Forge
Volcanic Furnace;Vulkanugn
Volcanic chamber;Vulkankammare
Volcanic garden;Vulkanisk trädgård
Volcanic sulphur;Vulkaniskt svavel
Volcanic theme;Vulkaniskt tema
Volcanic vent;Vulkanöppning
Volcano Entrance;Vulkanentré
Vorkath Topiary;Vorkath Topiary
Vorkath display;Vorkath display
Vorkath head;Vorkaths huvud
Vyre well;Mår bra
Waiting Room Door;Väntrumsdörr
Walkway;Gångväg
Wall;Vägg
Wall Crusher;Väggkross
Wall Pipe;Väggrör
Wall chart;Väggdiagram
Wall chart space;Väggdiagram utrymme
Wall corner;Vägghörn
Wall decoration;Väggdekoration
Wall map;Väggkarta
Wall of bricks;Mur av tegel
Wall of flame;Vägg av låga
Wall opening;Väggöppning
Wall rubble;Mursten
Wall safe;Väggsäker
Wall support;Väggstöd
Wallchart;Väggkarta
Wand rack;Trollstavsställ
War table;Krigsbord
Wardrobe;Garderob
Wardrobe space;Garderobsutrymme
Warehouse shelves;Lagerhyllor
Warhammer;Warhammer
Warning Sign;Varningsskylt
Warning sign;Varningsskylt
Washbasin;Tvättställ
Washing Line;Tvättlina
Washing line;Tvättlina
Waste Paper Bin;Papperskorg
Waste pipes;Avloppsrör
Watchtower;Vakttorn
Watchtower Legs;Vakttornets ben
Watchtower Middle;Vakttornet mitten
Water;Vatten
Water Barrel;Vattenfat
Water Channel;Vattenkanal
Water Pool;Vattenpool
Water Pump;Vattenpump
Water Sign;Vatten tecken
Water Source;Vattenkälla
Water Tank;Vattentank
Water Trough;Vattentråg
Water Valve;Vattenventil
Water barrel;Vattentunna
Water containers;Vattenbehållare
Water controls;Vattenkontroller
Water pipes;Vattenledningar
