A Goblin standard;Um padrão Goblin
Pitfall;Armadilha
Parchment;Pergaminho
Patched wall;Parede remendada
Path;Caminho
Piano;Piano
Picnic table;Mesa de piquenique
Pineapple plant stump;Toco de planta de abacaxi
Pipe;Cano
Platform;Plataforma
Party Balloon;Balão de festa
Pen Door;Porta da caneta
Penance cave;Caverna da penitência
Pet basket;Cesta para animais de estimação
Pet blanket;Cobertor para animais de estimação
Petrified mushroom;Cogumelo petrificado
Pendant;Pingente
Picture wall;Parede de quadros
Pile of Ancient Books;Pilha de livros antigos
Pinball Post;Postagem de pinball
Plank;Prancha
Pool space;Espaço da piscina
Portal Home;Página inicial do portal
Potatoes;Batatas
Preparation Table;Tabela de Preparação
Private bank booth;Cabine de banco privado
Protruding rocks;Rochas salientes
Pyramid entrance;Entrada da pirâmide
Polluted water;Água poluída
Pool of Rejuvenation;Piscina de Rejuvenescimento
Pool of Slime;Piscina de Slime
Portrait space;Espaço retrato
Post;Publicar
Potato;Batata
Potion of power table;Poção da mesa de poder
Prison Door;Porta da Prisão
Plough;Arado
Portal Nexus space;Espaço do Portal Nexus
Portrait;Retrato
Potion shelf;Prateleira de poções
Potion shelves;Prateleiras de poções
Press support;Apoio à imprensa
Pressure Barrel;Barril de Pressão
Private portal;Portal privado
Points settings;Configurações de pontos
Pot of dynamite;Pote de dinamite
Potato seed;Semente de batata
Pump;Bombear
Poison Ivy bush;Arbusto de hera venenosa
Pokers;Póquer
Pole;Pólo
Portal of Heroes;Portal dos Heróis
Pot of Gold;Pote de Ouro
Potato basket;Cesta de batata
Professor's table;mesa do professor
Pylon;Pilão
Pool of blood;Poça de sangue
Portal frame;Moldura do portal
Potential fire;Potencial incêndio
Pots;Potes
Powder Barrel;Barril de pólvora
Power saw;Serra elétrica
Pool of Dreams;Piscina dos Sonhos
Pool of Revitalisation;Piscina de Revitalização
Portcullis;Porta levadiça
Potions;Poções
Priest Statue;Estátua do Padre
Pyre site;Local da pira
Poll booth;Cabine de votação
Pressure machine;Máquina de pressão
Prize chest space;Espaço no baú de prêmios
Pyre boat;Barco Pira
Rachel (Well);Raquel (Bem)
Pool of Refreshment;Piscina de Refresco
Pyromancer;Piromante
Quiescent Snow Storm;Tempestade de neve tranquila
Portal;Portal
Portal of Champions;Portal dos Campeões
Portal of Legends;Portal das Lendas
Posh bell-pull;Puxador de sino elegante
Potted plant;Planta em vaso
Protest Banners;Banners de protesto
Quest list space;Espaço da lista de missões
Pool of Restoration;Piscina de Restauração
Posts;Postagens
Potato plants;Plantas de batata
Precarious bridge;Ponte precária
Pump and drain;Bomba e drenagem
Plinth;Plinto
Portal Nexus;Portal Nexo
Portal machine;Máquina de portal
Pot-boiler;Caldeira
Potter's Wheel;Roda de Oleiro
Power Grid;Rede Elétrica
Prison door;Porta da prisão
Rabbitless hole;Buraco sem coelho
Pond;Lago
Portal space;Espaço do portal
Potted flower;Flor em vaso
Potter's wheel;Roda de Potter
Prison space;Espaço prisional
Rabbit hole;Toca do coelho
Pool of Nightmares;Piscina de Pesadelos
Poster;Poster
Pot;Pote
Potato cactus;Cacto de batata
Potato plant;Planta de batata
Pressure Lever;Alavanca de pressão
Plunder Storage;Armazenamento de pilhagem
Pole-vault;Salto com vara
Portal of Death;Portal da Morte
Potted fern;Samambaia em vaso
Pottery Oven;Forno de cerâmica
Pressure pad;Almofada de pressão
Pump and tub;Bomba e banheira
Quest List;Lista de Missões
Rabbit snare;Armadilha de coelho
Poison crater;Cratera venenosa
Poor Bed;Cama ruim
Protest Poster;Cartaz de protesto
Rachel (ghastly!);Raquel (horrível!)
Red flowers;Flores vermelhas
Redberry bush;Arbusto de amora vermelha
Reinitialisation Panel;Painel de reinicialização
Restraint Table;Mesa de Retenção
Rickety door;Porta frágil
Rock Chair;Cadeira de pedra
Rock pile;Pilha de pedras
Rocking unicorn;Unicórnio balançando
Red rose bush patch;Mancha de roseira vermelha
Redwood birdhouse;Casa de passarinho de sequóia
Redwood tree;Árvore de pau-brasil
Repaired furnace;Fornalha reparada
Reward Chest;Baú de recompensas
Right side of a fireplace;Lado direito de uma lareira
Rockslide;Deslizamento de rochas
Rack of barrels;Rack de barris
Ray of Light;Raio de Luz
Recess;Recesso
Red chemical;Químico vermelho
Reeds;Juncos
Rock Formation (Glowing);Formação rochosa (brilhante)
Rack;Prateleira
Ranging game space;Espaço de jogo variado
Rat barn;Celeiro de ratos
Red Flowers;Flores Vermelhas
Repaired Roof;Telhado reparado
Red Banana Tree;Bananeira Vermelha
Rachel (sick);Raquel (doente)
Ranis Drakan;Ranis Drakan
Red fungi;Fungos vermelhos
Redwood;sequoia
Repair Locker;Armário de reparos
Rewards Chest;Baú de recompensas
Rewards chest;Baú de recompensas
River;Rio
Rock debris;Detritos de rocha
Rock of Dalgroth;Rocha de Dalgroth
Rocks;Rochas
Rocky ledge;Saliência rochosa
Rat;Rato
Red Water Sign;Sinal de água vermelha
Refinery;Refinaria
Repaired leak;Vazamento reparado
Reset Lever;Alavanca de reinicialização
Reward chest;Baú de recompensa
Rinsing pool;Enxaguando piscina
Rock Formation;Formação Rochosa
Raised coffin;Caixão levantado
Range chimney;Chaminé de fogão
Rare Flowers;Flores raras
Red Barrier;Barreira Vermelha
Redwood fence post;Poste de cerca de sequóia
Repair space;Espaço de reparo
Rock Pile;Pilha de pedras
Rock slide;Deslizamento de rocha
Rocking chair;Cadeira de balanço
Raft;Jangada
Ramp;Rampa
Redwood fence;Cerca de sequóia
Repaired wall;Parede reparada
Restraining Table;Tabela de restrição
Retorts;Retortas
Reward pool;Conjunto de recompensas
Rail;Trilho
Rat barrel;Barril de rato
Recruiting board;Quadro de recrutamento
Rocky Ledge;Borda Rochosa
Rat Wall;Parede de rato
Red door;Porta vermelha
Redwood tree patch;Canteiro de sequóias
Rock;Pedra
Rock and string;Rock e corda
Rocky handholds;Apoios rochosos
Rocky outcrop;Afloramento rochoso
Rat wall;Parede de rato
Reinforced crate;Caixa reforçada
Ranging spot;Local de alcance
Range;Faixa
Rat hole;Buraco de rato
Red banner;Bandeira vermelha
Redwood birdhouse (empty);Casa de passarinho Redwood (vazia)
Repair bench;Bancada de reparo
Rock wall;Parede de pedra
Rockery;Jardim ornamental
Rocky shore;Costa rochosa
Rachel (very sick);Raquel (muito doente)
Railing;Corrimão
Rat trap;Armadilha para ratos
Rat wheel;Roda de rato
Red Star Fungi;Fungos Estrela Vermelha
Return Orb;Orbe de Retorno
Ripples;Ondulações
Rockfall;Queda de rochas
Rat lever;Alavanca de rato
Rat-hole;Buraco de rato
Red Castlewars armour;Armadura vermelha de Castlewars
Rift;Fenda
Ring of Stones;Anel de Pedras
Rock Formation (Depleted);Formação Rochosa (Esgotada)
Rockpile;Pilha de pedras
Round shield;Escudo redondo
Ruined Pillar;Pilar Arruinado
STASH (master);STASH (mestre)
Sacred Bone Burner;Queimador de Ossos Sagrados
Sacred Forge;Forja Sagrada
Sacrificial boat;Barco sacrificial
Rope Ladder;Escada de corda
Roped tree;Árvore amarrada
Rough hewn steps;Degraus toscos
Rowboat;Barco a remo
Ruined Stall;Tenda Arruinada
Rocky surface;Superfície rochosa
Rolling pin;Rolo de massa
Roof Entrance;Entrada do telhado
Rose bush;Roseira
Rotten sapling;Muda podre
Rotten stump;Toco podre
Ruined stall;Barraca arruinada
Rune essence;Essência rúnica
Ruptured cavern;Caverna rompida
Rocnar;Rocnar
Rotten food;Comida estragada
Rotting branch;Galho podre
Rubble;Escombros
Rug;Tapete
Ruins Exit;Saída das Ruínas
Rupert;Ruperto
STASH (beginner);STASH (iniciante)
Sack;Saco
Sack pile;Pilha de sacos
Rotten Yommi tree;Árvore Yommi podre
Rotting log;Registro podre
Sabertooth Squirrel;Esquilo Dente de Sabre
Salve Graveyard Portal;Portal do Cemitério Salve
Roof edge;Borda do telhado
Rope ladder;Escada de corda
Rope swing;Balanço de corda
Row boat;Barco a remo
Rubber cap mushroom;Cogumelo com tampa de borracha
Rune armour;Armadura rúnica
Rusted anvil;Bigorna enferrujada
Rotten carpet;Tapete podre
Rune pouches;Bolsas de runas
Rocky support;Suporte rochoso
Ropes;Cordas
Rotten Yommi;Yommi Podre
Rowboat space;Espaço para barco a remo
Ruins Entrance;Entrada das Ruínas
Rune case space;Espaço de caixa runa
Rune dragon;Dragão rúnico
Sailfish;Veleiro
Roots;Raízes
Ropeswing;Balanço de corda
Rum Crate;Caixa de rum
Runner trap(1);Armadilha de corredor(1)
Rusty key;Chave enferrujada
STASH (hard);STASH (difícil)
Sack Pile;Pilha de sacos
Roof;Teto
Rope bell-pull;Puxador de sino de corda
Ruins;Ruínas
Sacred water;Água sagrada
Rooftop Agility display;Exibição de agilidade no telhado
Rope anchor;Âncora de corda
Roses;Rosas
Rubble Pile;Pilha de entulho
Runic Altar;Altar Rúnico
S.T.A.S.H chart;Gráfico S.T.A.S.H
Sacks;Sacos
Roof top beams;Vigas superiores do telhado
Rope bridge;Ponte de corda
Rotten Apple Pile;Pilha de maçã podre
Rune display case;Vitrine de runas
STASH (elite);ESTADO (elite)
Sacrificial Pyre;Pira Sacrificial
Rolled up rug;Tapete enrolado
Roof Exit;Saída do telhado
Rope;Corda
Rosebush;Roseira
Rotting tree;Árvore podre
Sail;Velejar
Rolled up rugs;Tapetes enrolados
Root;Raiz
Rosemary;Alecrim
Rune Essence;Essência Rúnica
Runite Minor;Runita Menor
STASH (medium);STASH (médio)
Rope bridge support;Suporte de ponte de corda
Rotten village fence;Cerca podre da vila
Rough wall;Parede áspera
Rune temple sign;Sinal do templo rúnico
Runecrafting altar;Altar de criação de runas
Sails;Velas
Rotten Totem pole;Totem podre
Royal Wedding Invitation;Convite de casamento real
Rug space;Espaço de tapete
Runner trap(2);Armadilha de corredor(2)
STASH (easy);STASH (fácil)
Safe;Seguro
Saltpetre;Salitre
Scarecrow;Espantalho
Seating space;Espaço para sentar
Seers weathervane;Cata-vento dos videntes
Seers' Village Portal;Portal da Aldeia dos Videntes
Shelves space;Espaço nas prateleiras
Scorched earth;Terra arrasada
Scrapey Tree;Árvore raspadinha
Scratching post space;Arranhando o espaço da postagem
Scroll rack;Rack de rolagem
Secure chest;Baú seguro
Seed vault;Cofre de sementes
Shadow root;Raiz de sombra
Shaking box;Caixa agitando
Sand;Areia
Sarachnis display;Exibição de Sarachnis
Saucepan;Panela
Scrying pool;Piscina de vidência
Secret Door;Porta Secreta
Sewer valve;Válvula de esgoto
Shattered rockface;Face rochosa quebrada
Sapling;Muda
Scimitar Stall;Barraca de cimitarra
Seal of Hefin;Selo de Hefin
Shape puzzle;Quebra-cabeça de formas
Shark Beast;Besta Tubarão
Shining pool;Piscina brilhante
Sandpit;Caixa de areia
Saradomin Portal;Portal Saradomin
Sarcophagus;Sarcófago
Scaffolding;Andaimes
Sculpture;Escultura
Seaweed;Alga
Seven;Sete
Shayzien statue;Estátua de Shayzien
Shelves;Prateleiras
Shield display;Exibição de escudo
Shimmering field;Campo cintilante
Sample table;Tabela de amostra
Sandy's Desk;Mesa de Sandy
Score board;Placar
Screen;Tela
Seal of Cadarn;Selo de Cadarn
Seal of Crwys;Selo de Crwys
Seal of Meilyr;Selo de Meilyr
Seed table;Tabela de sementes
Ship hull;Casco de navio
Sarah (Well);Sara (Bem)
Sarah (sick!);Sara (doente!)
Scrolls;Pergaminhos
Scuttle;Afundamento
Sewing machine;Máquina de costura
Shayzien snapped banner;Shayzien quebrou banner
Shield Display;Exibição de escudo
Seaweed Pile;Pilha de Algas Marinhas
Secret entrance;Entrada secreta
Shantay pass;Passe Shantay
Saradomin Standard;Padrão Saradomin
Shadow crystal;Cristal de sombra
Shaving stand;Suporte de barbear
Shelf of thread;Prateleira de linha
Scoreboard;Placar
Scrawled note;Nota rabiscada
Seaweed patch;Mancha de algas marinhas
Septic tendrils;Gavinhas sépticas
Shark head;Cabeça de tubarão
Sand pile;Pilha de areia
Saradomin star;Estrela Saradomin
Scrapey Bark Sign;Sinal de casca de Scrapey
Scrying orb;Orbe de vidência
Seal of Amlodd;Selo de Amlodd
Security Barrier;Barreira de Segurança
Sandy's Coffee Mug;Caneca de café da Sandy
Saradomin staff;Pessoal Saradomin
Sarah (ghastly!);Sara (horrível!)
Seal of Ithell;Selo de Itell
Sewer pipe;Tubo de esgoto
Sandworm castings;Fundições de verme da areia
Saradomin altar;Altar de Saradomin
Sarah (very sick!);Sara (muito doente!)
Scaregull;Espantalho
Scroll;Rolar
Seal of Iorwerth;Selo de Iorwerth
Shayzien banner;Bandeira Shayzien
Shelf space;Espaço de prateleira
Shield;Escudo
Ship;Enviar
Sand pit;Poço de areia
Scaffold;Andaime
Seal of Trahaearn;Selo de Trahaearn
Seal of the Forgotten;Selo dos Esquecidos
Seed Stall;Barraca de sementes
Shimmering barrier;Barreira cintilante
Saradomin Brazier;Saradomin Braseiro
Schematic crate;Caixa esquemática
Scroll table;Tabela de rolagem
Senntisten Portal;Portal Senntisten
Servant's moneybag;Bolsa de dinheiro do servo
Shackle table;Mesa de manilha
Shelf;Prateleira
Shell;Concha
Shop counter;Balcão de loja
Silver stall;Barraca de prata
Singing Bowl;Tigela Cantante
Sir Lucan;Senhor Lucano
Slave;Escravo
Small plant;Planta pequena
Ship's wheel;Roda do navio
Shooting Star Noticeboard;Quadro de avisos da estrela cadente
Skroom;Skroom
Skull;Crânio
Skullshield;Escudo Crânio
Small Plant space 2;Espaço para planta pequena 2
Small orrery;Pequeno planetário
Smelly hole;Buraco fedorento
Signpost;Placa de sinalização
Silverlight;Luz prateada
Sinclair family crest;Brasão da família Sinclair
Sinclair family fountain;Fonte da família Sinclair
Slayer's Respite;A trégua do assassino
Small Oven;Forno Pequeno
Small bush;Arbusto pequeno
Small furnace;Forno pequeno
Small vase;Vaso pequeno
Short fence;Cerca curta
Shrivelled plant;Planta murcha
Shuttered window;Janela fechada
Sink space;Espaço para pia
Small plant 2;Planta pequena 2
Ship's ladder;Escada do navio
Shop Counter;Balcão de loja
Sir Tristram;Senhor Tristram
Short Plant;Planta Curta
Shot;Tomada
Shrine;Santuário
Sign post;Postagem de sinalização
Simple lockbox;Cofre simples
Sir Amik Varze;Sir Amik Varze
Sir Bedivere;Senhor Bedivere
Slab;Laje
Slashed Bush;Arbusto cortado
Slope end;Fim da inclinação
Small fern;Samambaia pequena
Sinclair mansion drain;Dreno da mansão Sinclair
Skull slope;Inclinação do crânio
Simple stove;Fogão simples
Slashed web;Teia cortada
Small storage unit;Unidade de armazenamento pequena
Slayer Helmet display case;Vitrine do capacete Slayer
Slightly broken bridge;Ponte um pouco quebrada
Slightly dark crystal;Cristal levemente escuro
Slimy water;Água viscosa
Small Table;Mesa Pequena
Small table;Mesa pequena
Six;Seis
Slashed bush;Arbusto cortado
Small Plant space 1;Espaço de planta pequena 1
Small crystals;Cristais pequenos
Smashed chair;Cadeira quebrada
Singing bowl;Tigela de canto
Sink;Afundar
Sir Lancelot;Senhor Lancelote
Sir Palomedes;Senhor Palomedes
Skotizo Topiary;Topiária Skotizo
Skotizo display;Exibição Skotizo
Slashed tapestry;Tapeçaria cortada
Slight indentations;Leves recuos
Slope;Declive
Small chest;Peito pequeno
Smelly mushroom;Cogumelo fedorento
Silver Chest;Baú de Prata
Single pillar;Pilar único
Skrach Uglogwee;Skrach Uglogwee
Slug goo;Lesma gosma
Small Boulder;Pedregulho Pequeno
Small Geyser;Gêiser Pequeno
Smashed table;Mesa quebrada
Smashed window;Janela quebrada
Sleeping bag;Saco de dormir
Sliced web;Teia fatiada
Small gravestone;Lápide pequena
Small oven;Forno pequeno
Smashed cage;Gaiola quebrada
Sickle logo;Logotipo da foice
Sinclair family beehive;Colmeia da família Sinclair
Sinclair family compost heap;Pilha de compostagem da família Sinclair
Sithik Ints;Sithik Ints
Skeleton;Esqueleto
Shoe box;Caixa de sapatos
Short planks;Pranchas curtas
Shortcut;Atalho
Sign;Sinal
Sinister barrel;Barril sinistro
Skulls;Crânios
Sluice Gate;Porta de eclusa
Silk stall;Barraca de seda
Slimy pillars;Pilares viscosos
Slimy residue;Resíduo viscoso
Small Fossil Display;Exibição de Fósseis Pequena
Small fountain;Fonte pequena
Small rock;Pedra pequena
Spinning Wheel;Roda giratória
Spore;Esporo
Snowy bird hide;Esconderijo de pássaro nevado
Spiders' nest;Ninho de aranha
Spike defence;Defesa de pico
Spirit Angler dock;Doca Spirit Angler
Standard Stand;Suporte padrão
Smokey well;Esfume bem
Smoky cave;Caverna enfumaçada
Snowdrops;Gotas de neve
Spinning light;Luz giratória
Spirit Tree Patch;Remendo da Árvore Espiritual
Spooky picture;Imagem assustadora
Spooky stairs;Escadas assustadoras
Stacked crates;Caixas empilhadas
Stagnant fish display;Exibição de peixes estagnados
Stalagmites;Estalagmites
Speartrap;Armadilha
Spin Blades;Lâminas giratórias
Spinning pipe;Tubo giratório
Spinning wheel;Roda giratória
Spirit tree;Árvore espiritual
Sq'irk tree;Árvore Sq'irk
Square shield;Escudo quadrado
Stand;Ficar
Standard;Padrão
Smoking vent;Ventilador para fumar
Soil;Solo
Sparkling pool;Piscina espumante
Spikey chain;Corrente espinhosa
Spine mushroom;Cogumelo espinhal
Spirit Angler stats;Estatísticas do Pescador Espiritual
Spit roast;Espeto assado
Stacked barrels;Barris empilhados
Stalagmite;Estalagmite
Spade;Pá
Spirit Tree Stump;Toco de árvore espiritual
Spirit tendrils;Gavinhas espirituais
Soil patch;Mancha de solo
Soul Obelisk;Obelisco da Alma
Soul Wars Portal;Portal da Guerra das Almas
Spiderwebs;Teias de aranha
Spiritual Fairy Tree;Árvore de fadas espiritual
Staff barrel;Barril de pessoal
Stained-glass window;Vitral
Staircase;Escadaria
Snape grass seedling;Mudas de grama Snape
Snow;Neve
Snowfall;Queda de neve
Spice stall;Barraca de especiarias
Spider eggs;Ovos de aranha
Spike hidden;Pico escondido
Spiked pit;Poço pontiagudo
Spirit Tree;Árvore Espiritual
Solid bronze door;Porta de bronze maciço
Spikes;Espinhos
Spork;Garfo
Spotlight;Destaque
Spray;Pulverizar
Sofa;Sofá
Solid black door;Porta preta sólida
Spirit pump;Bomba espiritual
Stacked Boxes;Caixas empilhadas
Stair Space;Espaço da escada
Smoke;Fumaça
Snape grass plant;Planta de grama Snape
Snow jump;Salto de neve
Solid steel door;Porta de aço sólido
Snowdrop patch;Patch de floco de neve
Spike trap;Armadilha de espinhos
Sprouting Roots;Raízes brotando
Stairs;Escadaria
Stalactite;Estalactite
Soul Altar;Altar da Alma
Soul boat;Barco da alma
Space;Espaço
Specimen;Amostra
Spinning Machine;Máquina giratória
Smoke Crystal;Cristal de fumaça
Soldier;Soldado
Solid gold door;Porta de ouro maciço
Specimen tray;Bandeja de amostras
Spinning blades;Lâminas giratórias
Spinning pole;Pólo giratório
Staff of Bob the Cat;Cajado de Bob, o Gato
Solid silver door;Porta de prata maciça
Soul Devourer;Devorador de Almas
Soul rift;Fenda da alma
Specimen table;Tabela de amostras
Stall;Parar
Snake;Cobra
Snow drift;Deriva de neve
Spear wall;Parede de lança
Sphinx;Esfinge
Spice Rack;Prateleira de especiarias
Spiny bush;Arbusto espinhoso
Stagnant Lake;Lago Estagnado
Stairs down;Escadas para baixo
Stairs up;Escadas para cima
Stairwell;Escadaria
Statue of Saradomin;Estátua de Saradomin
Steel dragon;Dragão de aço
Stepping Stone;Degrau
Stone Ladder;Escada de Pedra
Stone pool;Piscina de pedra
Storage space;Espaço de armazenamento
Standing Torch;Tocha em pé
Statue of a warrior;Estátua de um guerreiro
Stepping stones;Degraus
Stone signpost;Placa de sinalização de pedra
Stepping log;Registro de etapas
Stone chest;Baú de pedra
Stone wall;Parede de pedra
Storage crate;Caixa de armazenamento
Strange looking stone;Pedra de aparência estranha
Standing stone;Pedra em pé
Statuette Plinth;Rodapé de estatueta
Stepping stone;Degrau
Stone Pile;Pilha de Pedra
Stone crate;Caixa de pedra
Standing spears;Lanças em pé
Statue of a queen;Estátua de uma rainha
Statuette in alcove;Estatueta em alcova
Stick and hoop;Bastão e aro
Stinking tendrils;Gavinhas fedorentas
Stone Mechanism;Mecanismo de Pedra
Stone Tablet;Tábua de Pedra
Stormram;Stormram
Star chart;Mapa estelar
Statue of Zamorak;Estátua de Zamorak
Statue plinth;Rodapé da estátua
Steel cage;Gaiola de aço
Stone Gate;Portão de Pedra
Stone space;Espaço de pedra
Strange floor;Chão estranho
Strange hole;Buraco estranho
Standing torch;Tocha em pé
Statue steps;Degraus da estátua
Stone Staircase;Escadaria de Pedra
Storeroom Door;Porta do almoxarifado
Stove space;Espaço do fogão
Strange grid;Grade estranha
Statue;Estátua
Statue Plinth;Rodapé da Estátua
Steam_Pump;Bomba_Vapor
Steep roof;Telhado íngreme
Stone table;Mesa de pedra
Stop!;Parar!
Strange Shell;Concha Estranha
Statue of Guthix;Estátua de Guthix
Steam generator;Gerador de vapor
Stone;Pedra
Stone Pew;Banco de pedra
Stone arch;Arco de pedra
Stone crusher;Triturador de pedra
Strange blocks;Blocos estranhos
Start;Começar
Steam Generator;Gerador de vapor
Steeple;Campanário
Steps;Passos
Stone stand;Suporte de pedra
Stove;Forno
Statue Space;Espaço da Estátua
Statue of a king;Estátua de um rei
Steel Chest;Baú de Aço
Stool;Banco
Stool hotspot;Ponto de acesso de fezes
Strange Bells;Sinos Estranhos
Sticks;Varas
Stile;Estilo
Storage unit;Unidade de armazenamento
Strange Banana Tree;Bananeira Estranha
Strange Tile;Azulejo Estranho
Statue of Baxtorian;Estátua de Baxtorian
Steam press;Imprensa a vapor
Stone Plinth;Rodapé de pedra
Stone ladder;Escada de pedra
Strange Egg;Ovo Estranho
Statue of Glarial;Estátua de Glarial
Steam Pump;Bomba de vapor
Steam Vent;Ventilação de vapor
Steel range;Gama de aço
Stepladder;Escada
Stone Door;Porta de pedra
Stone Relief;Relevo de Pedra
Stone block;Bloco de pedra
Statue space;Espaço da estátua
Stick;Grudar
Stone bridge;Ponte de pedra
Stone pedestal;Pedestal de pedra
Stones;Pedras
Strange Machine;Máquina Estranha
Strange altar;Altar estranho
Strange machine;Máquina estranha
Statue with key;Estátua com chave
Stocks;Ações
Stone circle wall;Parede circular de pedra
Stone door;Porta de pedra
Stone tablet;Tábua de pedra
Storage shelves;Prateleiras de armazenamento
Sulliuscep sprout;Broto de Sulliuscep
Tanning line;Linha de bronzeamento
Tar Barrel;Barril de alcatrão
Tar buckets;Baldes de alcatrão
Strange pool;Piscina estranha
Strawberry seed;Semente de morango
Sweetcorn;Milho doce
Sword space;Espaço da espada
Symbol;Símbolo
Symbol of Saradomin;Símbolo de Saradomin
Symbol of Zamorak;Símbolo de Zamorak
Table hotspot;Ponto de acesso da tabela
Suit of Armour;Armadura
Sulliuscep;Sulliuscep
Supply chest;Baú de suprimentos
Swampy lamp;Lâmpada pantanosa
Sweetgrub Sign;Sinal Sweetgrub
Tanning Barrel;Barril de bronzeamento
Tar barrel;Barril de alcatrão
Tchiki Monkey Nut Bush;Arbusto de nozes de macaco Tchiki
Te salt;Te sal
Strange plant;Planta estranha
Streak info;Informações da sequência
Sturdy door;Porta resistente
Sulphur;Enxofre
Swings;Balanços
Sword in stone;Espada em pedra
Symbol of Guthix;Símbolo de Guthix
Table space;Espaço de mesa
Tailor's materials;Materiais de alfaiate
Tall mirror;Espelho alto
Sulphur Vent;Respiradouro de Enxofre
Sunflower;Girassol
Table;Mesa
Tall vine;Videira alta
Target;Alvo
Strange wall;Parede estranha
Stump;Toco
Sturdy wooden gate;Portão de madeira resistente
Sweets;Doces
Table and till;Mesa e caixa
Tap;Tocar
Studded Leather;Couro cravejado
Stuffed swordfish;Espadarte Recheado
Tangle vine;Videira emaranhada
Sunflowers;Girassóis
Supermajority marker;Marcador de supermaioria
Swamp;Pântano
Swamp tree branch;Galho de árvore do pântano
Switch;Trocar
Swordshop Sign;Placa de loja de espadas
Tangle hidden;Emaranhado escondido
Tar Thing;Coisa de alcatrão
Strange stone;Pedra estranha
Stronghold;Fortaleza
Study desk;Mesa de estudo
Sword case;Estojo de espada
Stretcher;Esticador
Support;Apoiar
Swamp bubbles;Bolhas do pântano
Sweetcorn plant;Planta de milho doce
Tall tree;Árvore alta
Strategy table;Tabela de estratégia
Strawberry;Morango
Strawberry plant;Planta de morango
Students' art;Arte dos alunos
Stump chair;Cadeira de toco
Symbol of life;Símbolo da vida
Table saw;Serra de mesa
Supporting Pillar;Pilar de Apoio
Swords;Espadas
Tall Reeds;Juncos altos
Strange passage;Passagem estranha
Study Desk;Mesa de estudo
Super magic potion;Poção super mágica
Super ranging potion;Poção de super alcance
Swamp paste;Pasta de pântano
Swaying tree;Árvore balançando
Table parts;Peças de mesa
Tactical map frame;Quadro de mapa tático
Strange shrine;Santuário estranho
Strong Yew;Teixo forte
Sulphur vent;Respiradouro de enxofre
Swamp tree;Árvore do pântano
Swampy sink;Pia pantanosa
Sweetgrub Mound;Monte Sweetgrub
Structural pillar;Pilar estrutural
Suit of armour;Armadura
Sunken rowboat;Barco a remo afundado
Sweet;Doce
Sweetcorn seed;Semente de milho doce
Sword cabinet;Armário de espada
Table blockade;Bloqueio de mesa
Strong Tree;Árvore Forte
Strut;Suporte
Supplies;Suprimentos
Suspicious footprints;Pegadas suspeitas
Swamp Boaty;Barco do pântano
Tall Plant;Planta alta
Tapestry;Tapeçaria
Tea stall;Barraca de chá
Teak Tree;Árvore de Teca
Telekinetic Teleport;Teletransporte Telecinético
The Cloister Bell;O Sino do Claustro
The middle of a fireplace;No meio de uma lareira
Thick vines;Vinhas grossas
Throne Room Door;Porta da Sala do Trono
Toadstool;Cogumelo venenoso
Tomato;Tomate
Torture Rack;Rack de tortura
Teak scratching post;Poste para arranhar em teca
Teak table;Mesa de teca
Teleport crystal;Cristal de teletransporte
Ticket Dispenser;Dispensador de ingressos
Teak cape rack;Cabide em teca
Teak drawers;Gavetas de teca
Thorns;Espinhos
Tip jar space;Espaço para jarra de gorjeta
Tool Storage;Armazenamento de ferramentas
Torch;Tocha
Ten;Dez
Tent flap;Aba da barraca
The Inferno;O Inferno
Timber;Madeira
Tok-Xil;Tok-Xil
Tomb dolmen;Dólmen da tumba
Teak birdhouse (empty);Casa de passarinho em teca (vazia)
Telescope space;Espaço do telescópio
Temple Door;Porta do Templo
Temple wall;Parede do templo
Terminal;terminal
The Sheared Ram;O carneiro tosquiado
Thingymajig;Thingymajig
Throne space;Espaço do trono
Tomb;Túmulo
Tool space;Espaço de ferramentas
Telescope;Telescópio
The Grotesque Guardians' display;A exibição dos Grotescos Guardiões
Theatre of Blood;Teatro de Sangue
Tight-gap;Lacuna apertada
Tools;Ferramentas
Teak bench;Banco de teca
Teak birdhouse;Casa de passarinho em teca
Teak wardrobe;Guarda-roupa de teca
Teleport space;Espaço de teletransporte
Temperature gauge;Medidor de temperatura
Tent;Barraca
Tent wall;Parede da barraca
Thermonuclear Smoke Devil Display;Exibição do Diabo de Fumaça Termonuclear
Teak feeder;Alimentador de teca
Teleportation Device;Dispositivo de teletransporte
Teleportation focus;Foco de teletransporte
Temp Stone 4 Zip;Pedra Temp 4 Zip
The Great Expedition;A Grande Expedição
Thistle;Cardo
Tomb exit;Saída da tumba
Teak;Teca
Teak house;Casa de teca
Teak prize chest;Baú de prêmios em teca
Tent roof;Telhado de barraca
Tight Gap;Lacuna apertada
Tent door;Porta da barraca
The Font of Consumption;A Fonte do Consumo
Thorny bushes;Arbustos espinhosos
Throne;Trono
Tomato plant;Planta de tomate
Teleport Platform;Plataforma de teletransporte
Teleport hidden;Teletransporte oculto
Throne of Weiss;Trono de Weiss
Toadstools;Cogumelos venenosos
Tomb doors;Portas da tumba
Teak chest;Baú de teca
Theme space;Espaço temático
Three;Três
Tightrope;Corda Bamba
Timber defence;Defesa de madeira
Tip jar;Frasco de gorjeta
Topiary bush;Arbusto topiário
